#WL(A)	Excit(eV)	Elm	Ion	AN	loggf
6721.85	5.86	Si	1'	14.0	-1.038
6717.68	2.71	Ca	1'	20.0	-0.226
6597.56	4.80	Fe	1'	26.0	-0.960
6609.11	2.56	Fe	1'	26.0	-2.470
6609.68	0.99	Fe	1'	26.0	-5.333
6627.54	4.55	Fe	1'	26.0	-1.597
6646.93	2.61	Fe	1'	26.0	-3.982
6653.91	4.15	Fe	1'	26.0	-2.475
6677.99	2.69	Fe	1'	26.0	-1.460
6703.57	2.76	Fe	1'	26.0	-3.062
6710.32	1.49	Fe	1'	26.0	-4.803
6725.36	4.10	Fe	1'	26.0	-2.321
6726.67	4.61	Fe	1'	26.0	-1.106
6733.15	4.64	Fe	1'	26.0	-1.539
6750.15	2.42	Fe	1'	26.0	-2.776
6806.86	2.73	Fe	1'	26.0	-3.198
6810.27	4.61	Fe	1'	26.0	-1.052
6820.37	4.64	Fe	1'	26.0	-1.177
6837.01	4.59	Fe	1'	26.0	-1.818
6643.63	1.68	Ni	1'	28.0	-1.898
6767.77	1.83	Ni	1'	28.0	-2.174
6772.31	3.66	Ni	1'	28.0	-0.958
